Year,Day,Part,Lang,Name,Result,Time (ms)
2015,1,X,AArch64 ASM,Not Quite Lisp,138,6
2015,1,2,AArch64 ASM,Not Quite Lisp,1771,
2015,2,X,Shell,I Was Told There Would Be No Math,1606483,64
2015,2,2,Shell,I Was Told There Would Be No Math,3842356,
2015,3,X,Java,Perfectly Spherical Houses in a Vacuum,2572,114
2015,3,2,Java,Perfectly Spherical Houses in a Vacuum,2631,
2015,4,X,Octave,The Ideal Stocking Stuffer,117946,2139290
2015,4,2,Octave,The Ideal Stocking Stuffer,3938038,
2015,5,X,Squirrel,Doesn't He Have Intern-Elves For This?,255,92
2015,5,2,Squirrel,Doesn't He Have Intern-Elves For This?,55,
2015,6,X,Python,Probably a Fire Hazard,400410,8120
2015,6,2,Python,Probably a Fire Hazard,15343601,
2015,7,X,Lua,Some Assembly Required,3176,9
2015,7,2,Lua,Some Assembly Required,14710,
2015,8,X,Synacor,Matchsticks,1342,8
2015,8,2,Synacor,Matchsticks,2074,
2015,9,X,APL,All in a Single Night,207,1386
2015,9,2,APL,All in a Single Night,804,
2015,10,X,Perl,Elves Look Elves Say,360154,2604
2015,10,2,Perl,Elves Look Elves Say,5103798,
2015,11,X,PostScript,Corporate Policy,hepxxyzz,1602
2015,11,2,PostScript,Corporate Policy,heqaabcc,
2015,12,1,Forth,JSAbacusFramework.io,119433,47
2015,12,2,Forth,JSAbacusFramework.io,68466,48
2015,13,X,C++,Knights of the Dinner Table,618,12
2015,13,2,C++,Knights of the Dinner Table,601,
2015,14,X,Emacs Lisp,Reindeer Olympics,2696,337
2015,14,2,Emacs Lisp,Reindeer Olympics,1084,
2015,15,X,AWK,Science for Hungry People,18965440,313
2015,15,2,AWK,Science for Hungry People,15862900,
2015,16,1,Sed,Aunt Sue,373,11
2015,16,2,Sed,Aunt Sue,260,11
2015,17,X,C,No Such Thing as Too Much,1638,97
2015,17,2,C,No Such Thing as Too Much,17,
2015,18,X,Objective-C,Like a GIF For Your Yard,814,220
2015,18,2,Objective-C,Like a GIF For Your Yard,924,
2015,19,X,Haskell,Medicine for Rudolph,518,122
2015,19,2,Haskell,Medicine for Rudolph,200,
2015,20,X,GAP,Infinite Elves and Infinite Houses,831600,7523
2015,20,2,GAP,Infinite Elves and Infinite Houses,884520,
2015,21,X,Ruby,RPG Simulator 20XX,121,83
2015,21,2,Ruby,RPG Simulator 20XX,201,
2015,22,X,Swift,Wizard Simulator 20XX,900,175
2015,22,2,Swift,Wizard Simulator 20XX,1216,
2015,23,X,Icon,Opening the Turing Lock,184,200
2015,23,2,Icon,Opening the Turing Lock,231,
2015,24,X,Rexx,It Hangs in the Balance,11266889531,3770
2015,24,2,Rexx,It Hangs in the Balance,77387711,
2015,25,1,TI-BASIC 68k,Let It Snow,9132360,800
2016,1,X,APL,No Time for a Taxicab,146,371
2016,1,2,APL,No Time for a Taxicab,131,
2016,2,X,APL,Bathroom Security,38961,400
2016,2,2,APL,Bathroom Security,46C92,
2016,3,X,APL,Squares With Three Sides,869,371
2016,3,2,APL,Squares With Three Sides,1544,
2016,4,X,APL,Security Through Obscurity,185371,433
2016,4,2,APL,Security Through Obscurity,984,
2016,5,X,APL,How About a Nice Game of Chess?,1a3099aa,185620
2016,5,2,APL,How About a Nice Game of Chess?,694190cd,
2016,6,X,APL,Signals and Noise,tsreykjj,391
2016,6,2,APL,Signals and Noise,hnfbujie,
2016,7,X,APL,Internet Protocol Version 7,105,2357
2016,7,2,APL,Internet Protocol Version 7,258,
2016,8,X,APL,Two-Factor Authentication,121,405
2016,8,2,APL,Two-Factor Authentication,RURUCEOEIL,
2016,9,X,APL,Explosives in Cyberspace,102239,591
2016,9,2,APL,Explosives in Cyberspace,10780403063,
2016,10,X,APL,Balance Bots,118,418
2016,10,2,APL,Balance Bots,143153,
2016,11,X,APL,Radioisotope Thermoelectric Generators,31,2501510
2016,11,2,APL,Radioisotope Thermoelectric Generators,55,
2016,12,X,APL,Leonardo's Monorail,318007,333830
2016,12,2,APL,Leonardo's Monorail,9227661,
2016,13,X,APL,A Maze of Twisty Little Cubicles,82,360
2016,13,2,APL,A Maze of Twisty Little Cubicles,138,
2016,14,X,APL,One-Time Pad,23890,174060
2016,14,2,APL,One-Time Pad,22696,
2016,15,X,APL,Timing is Everything,376777,392
2016,15,2,APL,Timing is Everything,3903937,
2016,16,X,APL,Dragon Checksum,11111000111110000,400
2016,16,2,APL,Dragon Checksum,10111100110110100,
2016,17,X,APL,Two Steps Forward,DDRLRRUDDR,823
2016,17,2,APL,Two Steps Forward,556,
2016,18,X,APL,Like a Rogue,1956,21388
2016,18,2,APL,Like a Rogue,19995121,
2016,19,X,APL,An Elephant Named Joseph,1830117,395
2016,19,2,APL,An Elephant Named Joseph,1417887,
2016,20,X,APL,Firewall Rules,17348574,404
2016,20,2,APL,Firewall Rules,104,
2016,21,X,APL,Scrambled Letters and Hash,cbeghdaf,401
2016,21,2,APL,Scrambled Letters and Hash,bacdefgh,
2016,22,X,APL,Grid Computing,941,2111
2016,22,2,APL,Grid Computing,249,
2016,23,X,APL,Safe Cracking,14065,394
2016,23,2,APL,Safe Cracking,479010625,
2016,24,X,APL,Air Duct Spelunking,460,3915
2016,24,2,APL,Air Duct Spelunking,668,
2016,25,X,APL,Clock Signal,182,385
2017,1,X,APL,Inverse Captcha,1049,373
2017,1,2,APL,Inverse Captcha,1508,
2017,2,1,Forth,Corruption Checksum,51833,13
2017,2,2,Forth,Corruption Checksum,288,14
2017,3,X,Forth,Spiral Memory,371,12
2017,3,2,Forth,Spiral Memory,369601,
2017,4,X,APL,High-Entropy Passphrases,455,361
2017,4,2,APL,High-Entropy Passphrases,186,
2017,5,X,AWK,A Maze of Twisty Trampolines All Alike,394829,10849
2017,5,2,AWK,A Maze of Twisty Trampolines All Alike,31150702,
2017,6,X,APL,Memory Reallocation,5042,812
2017,6,2,APL,Memory Reallocation,1086,
2017,7,X,AWK,Recursive Circus,uownj,20
2017,7,2,AWK,Recursive Circus,596,
2017,8,X,AWK,I Heard You Like Registers,5849,15
2017,8,2,AWK,I Heard You Like Registers,6702,
2017,9,X,Forth,Stream Processing,7640,31
2017,9,2,Forth,Stream Processing,4368,
2017,10,X,C,Knot Hash,8536,6
2017,10,2,C,Knot Hash,aff593797989d665349efe11bb4fd99b,
2017,11,X,AWK,Hex Ed,794,40
2017,11,2,AWK,Hex Ed,1524,
2017,12,X,AWK,Digital Plumber,288,25
2017,12,2,AWK,Digital Plumber,211,
2017,13,X,APL,Packet Scanners,2164,6886
2017,13,2,APL,Packet Scanners,3861798,
2017,14,X,C,Disk Defragmentation,8304,18
2017,14,2,C,Disk Defragmentation,1018,
2017,15,X,Forth,Dueling Generators,592,3422
2017,15,2,Forth,Dueling Generators,320,
2017,16,X,AWK,Permutation Promenade,dcmlhejnifpokgba,1464
2017,16,2,AWK,Permutation Promenade,ifocbejpdnklamhg,
2017,17,X,Forth,Spinlock,1561,927
2017,17,2,Forth,Spinlock,33454823,
2017,18,X,AWK,Duet,4601,503
2017,18,2,AWK,Duet,6858,
2017,19,X,AWK,A Series of Tubes,FEZDNIVJWT,43
2017,19,2,AWK,A Series of Tubes,17200,
2017,20,X,AWK,Particle Swarm,125,58060
2017,20,2,AWK,Particle Swarm,461,
2017,21,X,APL,Fractal Art,167,55106
2017,21,2,APL,Fractal Art,2425195,
2017,22,X,AWK,Sporifica Virus,5259,15370
2017,22,2,AWK,Sporifica Virus,2511722,
2017,23,X,Forth,Coprocessor Conflagration,4225,853
2017,23,2,Forth,Coprocessor Conflagration,905,
2017,24,X,AWK,Electromagnetic Moat,1906,1500
2017,24,2,AWK,Electromagnetic Moat,1824,
2017,25,X,AWK,The Halting Problem,5744,2736
2018,01,X,Forth,Chronal Calibration,529,36
2018,01,2,Forth,Chronal Calibration,464,
2018,02,X,Forth,Inventory Management System,5928,47
2018,02,2,Forth,Inventory Management System,bqlporuexkwzyabnmgjqctvfs,
2018,03,X,AWK,No Matter How You Slice It,111935,1633
2018,03,2,AWK,No Matter How You Slice It,650,
2018,04,X,AWK,Repose Record,12504,338
2018,04,2,AWK,Repose Record,139543,
2018,05,X,Forth,Alchemical Reduction,9154,17324
2018,05,2,Forth,Alchemical Reduction,4556,
2018,06,X,AWK,Chronal Coordinates,5626,4270
2018,06,2,AWK,Chronal Coordinates,46554,
2018,07,X,Forth,The Sum of Its Parts,JMQZELVYXTIGPHFNSOADKWBRUC,12
2018,07,2,Forth,The Sum of Its Parts,1133,
2018,08,X,Forth,Memory Maneuver,43825,60
2018,08,2,Forth,Memory Maneuver,19276,
2018,09,X,C,Marble Mania,383475,202
2018,09,2,C,Marble Mania,3148209772,
2018,10,X,AWK,The Stars Align,RLEZNRAN,2258
2018,10,2,AWK,The Stars Align,10240,
2018,11,X,C,Chronal Charge,20 62,259
2018,11,2,C,Chronal Charge,229 61 16,
2021,1,X,AWK,Sonar Sweep,1759,11
2021,1,2,AWK,Sonar Sweep,1805,
2021,2,X,AWK,Dive!,1383564,12
2021,2,2,AWK,Dive!,1488311643,
2021,3,X,Haskell,Binary Diagnostic,4103154,24
2021,3,2,Haskell,Binary Diagnostic,4245351,
2021,4,X,Haskell,Giant Squid,49860,48
2021,4,2,Haskell,Giant Squid,24628,
2021,5,X,AWK,Hydrothermal Venture,7414,231
2021,5,2,AWK,Hydrothermal Venture,19676,
2021,6,X,C,Lanternfish,394994,6
2021,6,2,C,Lanternfish,1765974267455,
2021,7,X,AWK,The Treachery of Whales,345035,179
2021,7,2,AWK,The Treachery of Whales,97038163,
2021,8,X,AWK,Seven Segment Search,514,109
2021,8,2,AWK,Seven Segment Search,1012272,
2021,9,X,AWK,Smoke Basin,498,170
2021,9,2,AWK,Smoke Basin,1071000,
2021,10,X,AWK,Syntax Scoring,399153,26
2021,10,2,AWK,Syntax Scoring,2995077699,
2021,11,X,C,Dumbo Octopus,1739,7
2021,11,2,C,Dumbo Octopus,324,
2021,12,X,Haskell,Passage Pathing,3369,225
2021,12,2,Haskell,Passage Pathing,85883,
2021,13,X,AWK,Transparent Origami,724,20
2021,13,2,AWK,Transparent Origami,CPJBERUL,
2021,14,X,AWK,Extended Polymerization,3230,20
2021,14,2,AWK,Extended Polymerization,3542388217759,
2021,15,X,C,Chiton,698,80
2021,15,2,C,Chiton,3022,
2021,16,X,C,Packet Decoder,883,6
2021,16,2,C,Packet Decoder,1675198555015,
2021,17,X,AWK,Trick Shot,30628,34
2021,17,2,AWK,Trick Shot,4433,
2021,18,X,C,Snailfish,4433,34
2021,18,2,C,Snailfish,4559,
